Tag;Level;Bekanntheit;Kontostand;Erlöse;Betriebskosten;Fixkosten;Wartungskosten;Investitionen;Kreditdienst;Tonnenkilometer;Lokanzahl;Wageneinheiten;AktiveFahrten
1;1;0;204880;7086;4113;3443;0;0;0;115800;2;10;2
2;1;0;204410;7086;4113;3443;0;0;0;115800;2;10;2
3;1;0;203940;7086;4113;3443;0;0;0;115800;2;10;2
4;1;0;203470;7086;4113;3443;0;0;0;115800;2;10;2
5;1;0;203000;7086;4113;3443;0;0;0;115800;2;10;2
6;1;0;202530;7086;4113;3443;0;0;0;115800;2;10;2
7;1;0;202060;7086;4113;3443;0;0;0;115800;2;10;2
8;1;0;201590;7086;4113;3443;0;0;0;115800;2;10;2
9;1;0;201120;7086;4113;3443;0;0;0;115800;2;10;2
10;1;0;200650;7086;4113;3443;0;0;0;115800;2;10;2
11;1;0;200180;7086;4113;3443;0;0;0;115800;2;10;2
12;1;0;199710;7086;4113;3443;0;0;0;115800;2;10;2
13;1;0;199240;7086;4113;3443;0;0;0;115800;2;10;2
14;1;0;198770;7086;4113;3443;0;0;0;115800;2;10;2
15;1;0;198300;7086;4113;3443;0;0;0;115800;2;10;2
16;1;0;197830;7086;4113;3443;0;0;0;115800;2;10;2
17;1;0;197360;7086;4113;3443;0;0;0;115800;2;10;2
18;1;0;196890;7086;4113;3443;0;0;0;115800;2;10;2
19;1;0;196420;7086;4113;3443;0;0;0;115800;2;10;2
20;1;0;195950;7086;4113;3443;0;0;0;115800;2;10;2
21;1;0;195480;7086;4113;3443;0;0;0;115800;2;10;2
22;1;0;195010;7086;4113;3443;0;0;0;115800;2;10;2
23;2;8;194540;7086;4113;3443;0;0;0;115800;2;10;2
24;2;8;194341;7357;4113;3443;0;0;0;115800;2;10;2
25;2;8;194142;7357;4113;3443;0;0;0;115800;2;10;2
26;2;8;193943;7357;4113;3443;0;0;0;115800;2;10;2
27;2;8;193744;7357;4113;3443;0;0;0;115800;2;10;2
28;2;8;193545;7357;4113;3443;0;0;0;115800;2;10;2
29;2;8;193346;7357;4113;3443;0;0;0;115800;2;10;2
30;2;8;193147;7357;4113;3443;0;0;0;115800;2;10;2
31;2;8;192948;7357;4113;3443;0;0;0;115800;2;10;2
32;2;8;192749;7357;4113;3443;0;0;0;115800;2;10;2
