Tag;Level;Bekanntheit;Kontostand;Erlöse;Betriebskosten;Fixkosten;Wartungskosten;Tonnenkilometer
1;1;0;204880;7086;4113;3443;0;115800
2;1;0;204410;7086;4113;3443;0;115800
3;1;0;203940;7086;4113;3443;0;115800
4;1;0;203470;7086;4113;3443;0;115800
5;1;0;203000;7086;4113;3443;0;115800
6;1;0;202530;7086;4113;3443;0;115800
7;1;0;202060;7086;4113;3443;0;115800
8;1;0;201590;7086;4113;3443;0;115800
9;1;0;201120;7086;4113;3443;0;115800
10;1;0;200650;7086;4113;3443;0;115800
11;1;0;200180;7086;4113;3443;0;115800
12;1;0;199710;7086;4113;3443;0;115800
13;1;0;199240;7086;4113;3443;0;115800
14;1;0;198770;7086;4113;3443;0;115800
15;1;0;198300;7086;4113;3443;0;115800
16;1;0;197830;7086;4113;3443;0;115800
17;1;0;197360;7086;4113;3443;0;115800
18;1;0;196890;7086;4113;3443;0;115800
19;1;0;196420;7086;4113;3443;0;115800
20;1;0;195950;7086;4113;3443;0;115800
21;1;0;195480;7086;4113;3443;0;115800
22;1;0;195010;7086;4113;3443;0;115800
23;2;8;194540;7086;4113;3443;0;115800
24;2;8;194341;7357;4113;3443;0;115800
25;2;8;194142;7357;4113;3443;0;115800
26;2;8;193943;7357;4113;3443;0;115800
27;2;8;193744;7357;4113;3443;0;115800
28;2;8;193545;7357;4113;3443;0;115800
29;2;8;193346;7357;4113;3443;0;115800
30;2;8;193147;7357;4113;3443;0;115800
31;2;8;192948;7357;4113;3443;0;115800
32;2;8;192749;7357;4113;3443;0;115800
33;2;8;192550;7357;4113;3443;0;115800
34;2;8;192351;7357;4113;3443;0;115800
35;2;8;192152;7357;4113;3443;0;115800
36;2;8;191953;7357;4113;3443;0;115800
37;2;8;191754;7357;4113;3443;0;115800
38;2;8;191555;7357;4113;3443;0;115800
39;2;8;191356;7357;4113;3443;0;115800
40;2;8;191157;7357;4113;3443;0;115800
41;2;8;190958;7357;4113;3443;0;115800
42;2;8;190759;7357;4113;3443;0;115800
43;2;8;190560;7357;4113;3443;0;115800
44;2;8;190361;7357;4113;3443;0;115800
45;2;8;190162;7357;4113;3443;0;115800
46;2;8;189963;7357;4113;3443;0;115800
47;2;8;189764;7357;4113;3443;0;115800
48;2;8;189565;7357;4113;3443;0;115800
49;2;8;189366;7357;4113;3443;0;115800
50;2;8;189167;7357;4113;3443;0;115800
51;2;8;188968;7357;4113;3443;0;115800
52;2;8;188769;7357;4113;3443;0;115800
53;2;8;188570;7357;4113;3443;0;115800
54;2;8;188371;7357;4113;3443;0;115800
55;3;16;188172;7357;4113;3443;0;115800
56;3;16;188110;7494;4113;3443;0;115800
57;3;16;188048;7494;4113;3443;0;115800
58;3;16;187986;7494;4113;3443;0;115800
59;3;16;187924;7494;4113;3443;0;115800
60;3;16;187862;7494;4113;3443;0;115800
61;3;16;187800;7494;4113;3443;0;115800
62;3;16;187738;7494;4113;3443;0;115800
63;3;16;187676;7494;4113;3443;0;115800
64;3;16;187614;7494;4113;3443;0;115800
65;3;16;187552;7494;4113;3443;0;115800
66;3;16;187490;7494;4113;3443;0;115800
67;3;16;187428;7494;4113;3443;0;115800
